O3_+_hv_=>_O_+_O_+_O.txt
wavelength          200K                225K                250K                275K                300K                
1.50380000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.50600000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.50830000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.51060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.51290000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.51520000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.51750000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.51980000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.52210000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.52440000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.52670000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.52910000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.53140000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.53370000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.53610000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.53850000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.54080000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.54320000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.54560000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.54800000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.55040000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.55280000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.55520000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.55760000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.56010000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.56250000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.56490000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.56740000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.56990000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.57230000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
